Date,Close_HDFC,Close_KOTAK,Close_SBI
11/1/2018,1762.00,1109.55,285.90
11/2/2018,1824.40,1133.20,285.35
11/5/2018,1792.90,1129.45,294.95
11/6/2018,1805.90,1125.30,286.45
11/7/2018,1815.85,1134.30,286.55
11/9/2018,1816.10,1135.55,283.25
11/12/2018,1795.90,1153.70,277.95
11/13/2018,1824.70,1165.90,278.05
11/14/2018,1839.15,1129.90,283.60
11/15/2018,1853.60,1162.25,285.40
11/16/2018,1889.00,1168.60,290.90
11/19/2018,1899.35,1175.25,288.15
11/20/2018,1876.80,1169.95,283.45
11/21/2018,1868.15,1176.70,287.05
11/22/2018,1873.70,1170.60,282.70
11/26/2018,1884.65,1170.55,286.40
11/27/2018,1901.70,1173.55,289.40
11/28/2018,1928.00,1160.25,284.55
11/29/2018,1956.30,1212.95,286.40
11/30/2018,1989.00,1233.95,284.65
12/3/2018,1980.75,1226.10,286.80
12/4/2018,1939.45,1225.30,282.55
12/5/2018,1973.30,1211.50,280.15
12/6/2018,1945.80,1180.25,275.65
12/7/2018,1951.35,1279.65,275.40
12/10/2018,1906.50,1198.35,274.20
12/11/2018,1905.25,1218.70,281.25
12/12/2018,1940.20,1237.15,285.25
12/13/2018,1942.05,1264.40,289.00
12/14/2018,1904.10,1255.95,289.20
12/17/2018,1960.35,1222.45,289.50
12/18/2018,1952.00,1237.10,292.75
12/19/2018,1981.70,1225.65,300.70
12/20/2018,1974.70,1236.30,294.05
12/21/2018,1948.60,1227.20,291.90
12/24/2018,1902.15,1238.50,293.05
12/26/2018,1933.35,1248.15,294.15
12/27/2018,1948.85,1240.25,292.15
12/28/2018,1979.95,1241.35,294.80
12/31/2018,1968.35,1256.50,295.90
1/1/2019,2009.00,1250.45,299.60
1/2/2019,1980.65,1240.60,293.90
1/3/2019,1936.85,1235.25,291.10
1/4/2019,1972.60,1247.95,297.65
1/7/2019,1972.90,1246.60,296.30
1/8/2019,1958.95,1228.90,305.30
1/9/2019,1994.95,1238.25,305.30
1/10/2019,1980.10,1219.55,305.55
1/11/2019,1991.40,1223.20,302.75
